From,To,Multiplier
oz,ml,29.5735
oz,liter,0.0295735
oz,tsp,6
oz,tbsp,2
oz,cup,0.123223
oz,pint,0.0625
oz,quart ,0.03125
oz,gallon,0.0078125
oz,oz,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
